temperature,cpu_usage,memory_usage,network_traffic,failure
57.44,51.0,31.2,249.3,0
46.68,67.25,80.0,416.35,1
61.0,66.88,48.73,248.08,1
62.52,36.88,53.71,342.6,0
39.39,48.49,60.1,284.95,0
44.58,11.45,31.55,305.33,0
56.02,46.78,62.33,311.16,1
52.47,30.71,47.45,246.52,0
54.87,41.65,60.29,152.45,0
48.18,14.66,44.6,391.94,0
62.04,52.29,26.68,491.23,0
61.22,14.46,47.31,499.11,0
55.53,47.67,66.53,233.61,0
64.02,22.92,62.09,212.02,0
58.74,29.71,55.56,233.49,0
48.13,65.79,71.17,278.9,0
57.95,55.58,51.34,293.7,0
47.33,65.69,56.01,180.25,0
62.03,73.08,46.36,122.43,0
54.6,31.09,72.22,305.99,0
53.52,71.98,60.25,0.0,1
49.55,18.62,44.97,287.92,0
64.78,58.43,28.2,186.63,0
53.76,36.12,74.89,393.62,1
51.57,28.25,41.61,425.72,0
52.18,56.06,56.3,428.55,1
59.26,62.01,97.35,258.43,1
57.92,61.47,69.43,163.78,0
58.3,48.87,84.0,202.25,0
58.45,47.38,45.31,334.51,0
72.13,54.48,74.28,102.5,0
51.75,50.47,55.48,467.23,0
50.9,54.74,61.59,260.32,0
48.49,48.67,91.38,360.02,1
59.93,60.17,49.98,86.23,0
64.03,15.71,55.35,188.88,0
54.09,42.64,38.74,71.32,0
48.28,20.09,70.99,422.54,0
48.4,49.98,44.91,280.78,0
60.2,74.55,73.41,368.56,1
60.95,36.47,25.3,307.61,0
59.35,47.29,64.88,356.22,0
49.68,58.62,43.41,259.51,0
56.86,7.78,68.15,275.57,0
55.93,35.6,54.76,288.99,0
56.75,51.56,45.36,348.68,0
61.97,0.0,48.04,351.85,0
56.79,27.42,39.69,637.37,0
60.43,64.82,70.08,501.79,1
55.54,63.05,36.12,86.55,0
57.31,51.74,50.19,282.83,0
60.05,60.88,61.21,251.29,0
43.34,48.87,84.04,453.62,0
52.44,55.0,54.83,262.11,0
51.24,39.32,50.63,355.71,0
49.89,47.08,59.93,19.55,0
52.8,33.62,17.68,118.37,0
66.96,67.74,33.42,551.08,1
48.07,72.39,48.24,306.03,0
62.75,69.84,42.17,180.18,0
41.54,37.65,26.19,329.14,0
52.32,27.83,70.44,173.63,0
56.3,67.99,59.68,266.0,1
59.69,54.79,57.52,125.69,0
60.69,50.91,42.51,205.35,0
61.35,33.59,56.43,250.04,0
52.21,52.66,64.26,434.48,0
51.3,25.46,50.23,355.69,0
61.86,56.41,63.0,376.62,0
53.47,69.82,40.67,296.91,0
44.79,74.36,56.75,398.74,0
45.93,57.75,75.56,195.18,0
47.64,20.12,77.18,212.08,0
58.98,48.55,78.9,348.91,1
56.14,83.51,60.14,266.5,1
60.52,29.36,55.57,298.34,0
51.58,43.93,46.92,280.3,0
56.27,70.44,22.47,450.41,0
60.0,56.11,30.79,456.67,0
52.53,89.64,51.98,224.86,0
58.65,31.81,53.05,88.82,0
49.7,27.18,80.42,214.62,0
52.1,67.03,78.67,192.36,0
51.95,23.47,42.64,399.81,0
45.43,41.46,69.73,410.46,0
58.9,43.82,46.41,176.27,0
51.24,63.65,67.29,209.46,0
55.1,56.06,69.51,122.52,0
58.85,53.23,77.36,316.13,1
58.57,37.76,46.13,294.61,0
60.32,66.87,73.26,394.69,0
54.21,100.0,21.29,359.66,1
51.61,57.44,78.33,373.22,0
54.36,46.79,54.55,114.96,0
41.5,21.64,54.93,224.84,0
43.42,33.53,18.33,413.87,0
44.42,41.15,48.0,235.37,0
47.02,35.38,79.4,104.69,0
58.2,44.71,47.32,396.96,0
47.76,77.0,67.84,230.73,0
51.97,67.45,55.62,427.52,1
65.39,42.14,74.13,297.79,1
